66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UC6OShWPr6Yh-temsoBKR4Yw (не проведен);Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/channel/UC6Zs4lq4B-aeMFIS9YXe80A;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UCIYthdk8knr59qjVfeat7Sg;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UCXepCHua_3LCWz5Ct3i99Aw;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/channel/UCaXQL81ri3Z3Jl0M-YQzJmw;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UCgC57LSKYHfIuODWgvxUUOw;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UChqwrznA50idhGja5ddu0_w;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/channel/UCmhnvM-BQIU2DP3naArMOAg;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
66.42.51.76;www.okclips.net;https://www.okclips.net/channel/UCnO0tz1z2E5ubNdTknIUY-w;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/channel/UCyLOJGJHa6zztQLJGpFOA5g;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/-4kmeffs5yY/dnevnikmukhadzhira-k.html;Генпрокуратура;27-31-2015/Ид4082-15 ;2015-12-04
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/00yIV4G0zic/;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/3amWPff26xY/drug-gutsulostanniy.html;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/3cx5hxnJx70/dnevnikmukhadzhira-o.html;Генпрокуратура;27-31-2015/Ид4082-15 ;2015-12-04
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/44PlgE1h1c4/;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/4tM8bV4YDPM/russkiy-boets-duk-ps.html;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/57bpu1DVPFU/;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/57bpu1DVPFU/khizb-ut-takhrir-v-u.html;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/6J4P1z9E9Z8/.html;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/76VHYiNm0BM/pravyy-sektor-ne-mif.html;Генпрокуратура;27-31-2015/Ид831-15 ;2015-03-12
104.28.10.7 | 104.28.11.7 | 2606:4700:30::681c:a07 | 2606:4700:30::681c:b07;www.okclips.net;https://www.okclips.net/video/8Vjl3ml7e1w/;Генпрокуратура;27-31-2015/Ид1093-15;2015-04-03
